query,iter,exec_ms
10a,1,1479.357
10b,1,589.945
10c,1,7103.655
11a,1,123.241
11b,1,57.762
11c,1,214.423
11d,1,191.339
12a,1,658.398
12b,1,22.883
12c,1,1986.739
13a,1,3519.665
13b,1,1378.412
13c,1,1287.304
13d,1,5585.806
14a,1,486.599
14b,1,171.015
14c,1,746.874
15a,1,821.210
15b,1,85.448
15c,1,2014.902
15d,1,2287.143
16a,1,270.033
16b,1,25415.909
16c,1,2185.067
16d,1,1751.607
17a,1,17073.362
17b,1,12799.221
17c,1,12283.631
17d,1,12420.671
17e,1,17663.968
17f,1,16021.577
18a,1,12976.058
18b,1,394.725
18c,1,17053.534
19a,1,786.152
19b,1,385.161
19c,1,2779.140
19d,1,16646.832
1a,1,20.176
1b,1,9.279
1c,1,13.808
1d,1,8.847
20a,1,5903.103
20b,1,3590.954
20c,1,2006.624
21a,1,146.799
21b,1,114.184
21c,1,119.943
22a,1,720.885
22b,1,480.770
22c,1,2863.780
22d,1,1123.670
23a,1,391.026
23b,1,162.215
23c,1,447.784
24a,1,893.925
24b,1,263.340
25a,1,4184.544
25b,1,507.506
25c,1,13953.968
26a,1,34743.326
26b,1,361.688
26c,1,6947.824
27a,1,260.127
27b,1,233.445
27c,1,293.992
28a,1,1419.937
28b,1,1204.731
28c,1,949.409
29a,1,371.139
29b,1,352.865
29c,1,1673.521
2a,1,735.295
2b,1,698.991
2c,1,661.678
2d,1,880.068
30a,1,1471.517
30b,1,835.546
30c,1,7193.770
31a,1,10455.895
31b,1,748.990
31c,1,15636.337
32a,1,26.670
32b,1,164.925
33a,1,335.138
33b,1,332.331
33c,1,419.614
3a,1,185.299
3b,1,121.970
3c,1,310.866
4a,1,146.640
4b,1,89.049
4c,1,128.734
5a,1,262.214
5b,1,232.039
5c,1,264.565
6a,1,41.649
6b,1,304.383
6c,1,22.499
6d,1,9401.040
6e,1,34.973
6f,1,9982.504
7a,1,1380.455
7b,1,337.121
7c,1,4740.701
8a,1,4558.721
8b,1,479.402
8c,1,8135.536
8d,1,3264.040
9a,1,755.239
9b,1,717.141
9c,1,3923.852
9d,1,5272.606
