query,iter,exec_ms
1a,1,735.000
1b,1,245.000
1c,1,723.000
1d,1,854.000
2a,1,276.000
2b,1,79.000
2c,1,6.000
2d,1,111.000
3a,1,259.000
3b,1,277.000
3c,1,590.000
4a,1,440.000
4b,1,188.000
4c,1,530.000
5a,1,558.000
5b,1,183.000
5c,1,429.000
6a,1,2108.000
6b,1,96.000
6c,1,88.000
6d,1,459.000
6e,1,288.000
6f,1,1107.000
7a,1,245.000
7b,1,151.000
7c,1,486.000
8a,1,231.000
8b,1,198.000
8c,1,3600.000
8d,1,384.000
9a,1,583.000
9b,1,481.000
9c,1,263.000
9d,1,973.000
10a,1,443.000
10b,1,292.000
10c,1,445.000
11a,1,179.000
11b,1,213.000
11c,1,318.000
11d,1,434.000
12a,1,132.000
12b,1,874.000
12c,1,279.000
13a,1,140.000
13b,1,114.000
13c,1,125.000
13d,1,656.000
14a,1,191.000
14b,1,185.000
14c,1,299.000
15a,1,261.000
15b,1,223.000
15c,1,328.000
15d,1,488.000
16a,1,324.000
16b,1,2037.000
16c,1,292.000
16d,1,182.000
17a,1,1341.000
17b,1,265.000
17c,1,98.000
17d,1,136.000
17e,1,1227.000
17f,1,769.000
18a,1,269.000
18b,1,307.000
18c,1,677.000
19a,1,371.000
19b,1,274.000
19c,1,557.000
19d,1,1608.000
20a,1,1265.000
20b,1,415.000
20c,1,717.000
21a,1,208.000
21b,1,159.000
21c,1,645.000
22a,1,211.000
22b,1,171.000
22c,1,260.000
22d,1,220.000
23a,1,306.000
23b,1,241.000
23c,1,303.000
24a,1,246.000
24b,1,251.000
25a,1,364.000
25b,1,305.000
25c,1,566.000
26a,1,404.000
26b,1,284.000
26c,1,398.000
27a,1,193.000
27b,1,161.000
27c,1,334.000
28a,1,277.000
28b,1,244.000
28c,1,720.000
29a,1,425.000
29b,1,290.000
29c,1,371.000
30a,1,329.000
30b,1,326.000
30c,1,399.000
31a,1,296.000
31b,1,356.000
31c,1,204.000
32a,1,3.000
32b,1,19.000
33a,1,73.000
33b,1,79.000
33c,1,402.000
