Query,Millis,PreMillis,PostMillis,Tuples,Iterations,Lookups,NrIndexEntries,nrUniqueLookups,NrUctNodes,NrPlans,JoinCard,NrSamples,AvgReward,MaxReward,TotalWork
01a.sql,379,355,1,1211,2497,0,1405270,1149,7,5,142,5,0.17604600986412025,0.5729471027908712,1.0
01b.sql,127,118,0,312,671,0,240,303,4,2,3,2,3.297017829257954E-5,6.594035658515907E-5,1.0
01c.sql,366,357,0,1021,2088,0,187,1055,7,5,3,5,0.10184500117639583,0.5029851453042857,1.0
01d.sql,430,424,0,483,1050,0,464,474,5,3,4,3,0.1491414222095418,0.4473336892157337,1.0
02a.sql,170,105,1,215473,534365,0,1460789360,188675,51,18,7834,1069,0.01023448232547134,0.2960684330828529,1.0
02b.sql,78,1,0,254387,636155,0,1458406809,231501,68,26,5228,1273,0.0066748147538482185,0.4226154811402406,1.0
02c.sql,4,2,0,5,13,0,6,3,3,1,0,1,0.0,-Infinity,1.0
02d.sql,96,13,2,313445,707667,0,1457930220,246616,45,17,68316,1416,0.0506365668920627,0.4116088652802312,1.0
03a.sql,134,125,0,16875,48603,0,111107936,18806,18,8,206,98,0.007438804686875045,0.17494494114791517,1.0
03b.sql,140,137,0,5859,12650,0,5044853,6351,21,10,5,26,0.0493664724223271,0.3712611744923657,1.0
03c.sql,301,288,1,30322,74568,0,111139688,29934,27,10,7250,150,0.05244163214088418,0.3057616678738363,1.0
04a.sql,225,215,0,21574,57738,0,137586559,22104,36,15,740,116,0.010580191168782435,0.14952432846056207,1.0
04b.sql,96,92,0,3908,8402,0,3388381,4146,20,11,6,17,0.028020541223066874,0.23183222980159482,1.0
04c.sql,271,259,0,40847,94803,0,182969528,33909,38,14,4700,190,0.02722971056623554,0.16354927190189836,1.0
05a.sql,281,277,0,697,1502,0,110,754,6,4,0,4,0.005533496212643093,0.01327882152647665,1.0
05b.sql,93,90,0,226,339,0,0,113,3,1,0,1,0.0,-Infinity,1.0
05c.sql,217,212,0,4679,10555,0,3355,4967,22,11,669,22,0.12124846441563779,0.531773915437828,1.0
06a.sql,1057,1051,0,24113,54701,0,2040190,24394,50,21,6,110,0.011013740432191164,0.2906064866778136,1.0
06b.sql,50,46,0,4393,10176,0,92530,4636,22,11,12,21,0.053293826772339695,0.4200128803217448,1.0
06c.sql,45,43,0,1223,2645,0,2748,1174,8,6,2,6,0.00847173402152708,0.02935024687820526,1.0
06d.sql,234,225,0,17608,43886,0,2885982,17765,28,12,88,88,0.005675333173660886,0.27542049428670595,1.0
